File_mb	2469.73	PEPPRO
Read_type	PAIRED	PEPPRO
Genome	hg38	PEPPRO
Raw_reads	97729860	PEPPRO
Fastq_reads	97729860	PEPPRO
Trimmed_reads	30221343	PEPPRO
Trim_loss_rate	69.08	PEPPRO
Reads_with_adapter	34822522.0	PEPPRO
Uninformative_adapter_reads	0	PEPPRO
Duplicate_reads	3516802.0	PEPPRO
Pct_uninformative_adapter_reads	0.0	PEPPRO
Trimmed_reads	60442686	PEPPRO
Trim_loss_rate	38.15	PEPPRO
Peak_adapter_insertion_size	20	PEPPRO
Degradation_ratio	0.8896	PEPPRO
Aligned_reads_human_rDNA	5408680.0	PEPPRO
Alignment_rate_human_rDNA	8.95	PEPPRO
Mapped_reads	48339851	PEPPRO
QC_filtered_reads	27585022	PEPPRO
Aligned_reads	20754829.0	PEPPRO
Alignment_rate	34.34	PEPPRO
Total_efficiency	21.24	PEPPRO
Read_depth	3.26	PEPPRO
Mitochondrial_reads	674956	PEPPRO
Maximum_read_length	38	PEPPRO
Genome_size	3099922541	PEPPRO
Frac_exp_unique_at_10M	0.8774	PEPPRO
NRF	1.0	PEPPRO
PBC1	10983354.0	PEPPRO
PBC2	10983354.0	PEPPRO
Unmapped_reads	6258301	PEPPRO
TSS_coding_score	26.7	PEPPRO
TSS_non-coding_score	10.1	PEPPRO
Pause_index	32.63	PEPPRO
Plus_FRiP	0.38	PEPPRO
Minus_FRiP	0.36	PEPPRO
mRNA_contamination	1.23	PEPPRO
Time	2:34:35	PEPPRO
Success	05-27-10:49:44	PEPPRO
