File_mb	1322.25	PEPPRO
Read_type	single	PEPPRO
Genome	hg38	PEPPRO
Raw_reads	30363736	PEPPRO
Fastq_reads	30363736	PEPPRO
Reads_with_adapter	22296806.0	PEPPRO
Reads_too_short	1041369.0	PEPPRO
Pct_reads_too_short	3.4296	PEPPRO
Trimmed_reads	29322367	PEPPRO
Trim_loss_rate	3.43	PEPPRO
Peak_adapter_insertion_size	22	PEPPRO
Degradation_ratio	0.7189	PEPPRO
Aligned_reads_human_rDNA	4309471.0	PEPPRO
Alignment_rate_human_rDNA	14.7	PEPPRO
Mapped_reads	22899670	PEPPRO
QC_filtered_reads	4468262	PEPPRO
Aligned_reads	18431408	PEPPRO
Alignment_rate	62.86	PEPPRO
Total_efficiency	60.7	PEPPRO
Read_depth	2.65	PEPPRO
Mitochondrial_reads	843399	PEPPRO
Maximum_read_length	50	PEPPRO
Genome_size	3099922541	PEPPRO
NRF	0.7	PEPPRO
PBC1	0.86	PEPPRO
PBC2	8.69	PEPPRO
Unmapped_reads	2113226	PEPPRO
TSS_Plus_Score	23.9	PEPPRO
TSS_Minus_Score	8.6	PEPPRO
Pause_index	14.58	PEPPRO
Plus_FRiP	0.34	PEPPRO
Minus_FRiP	0.32	PEPPRO
mRNA_contamination	1.33	PEPPRO
Time	0:52:13	PEPPRO
Success	02-18-12:01:10	PEPPRO
