File_mb	5660.06	PEPPRO
Read_type	SINGLE	PEPPRO
Genome	hg38	PEPPRO
Raw_reads	70000000	PEPPRO
Fastq_reads	70000000	PEPPRO
Reads_with_adapter	56155013.0	PEPPRO
Uninformative_adapter_reads	1576345.0	PEPPRO
Pct_uninformative_adapter_reads	2.2519	PEPPRO
Trimmed_reads	68423655	PEPPRO
Trim_loss_rate	2.25	PEPPRO
Peak_adapter_insertion_size	34	PEPPRO
Degradation_ratio	0.231	PEPPRO
Aligned_reads_human_rDNA	5831595.0	PEPPRO
Alignment_rate_human_rDNA	8.52	PEPPRO
Mapped_reads	60754568	PEPPRO
QC_filtered_reads	7195486	PEPPRO
Aligned_reads	53559082	PEPPRO
Alignment_rate	78.28	PEPPRO
Total_efficiency	76.51	PEPPRO
Read_depth	5.9	PEPPRO
Mitochondrial_reads	1579435	PEPPRO
Maximum_read_length	100	PEPPRO
Genome_size	3099922541	PEPPRO
NRF	0.77	PEPPRO
PBC1	0.89	PEPPRO
PBC2	11.77	PEPPRO
Unmapped_reads	1837492	PEPPRO
File_mb	5660.06	PEPPRO
Read_type	SINGLE	PEPPRO
Genome	hg38	PEPPRO
TSS_coding_score	15.7	PEPPRO
TSS_non-coding_score	5.5	PEPPRO
File_mb	5660.06	PEPPRO
Read_type	SINGLE	PEPPRO
Genome	hg38	PEPPRO
Pause_index	9.88	PEPPRO
Plus_FRiP	0.36	PEPPRO
Minus_FRiP	0.34	PEPPRO
mRNA_contamination	1.97	PEPPRO
Time	0:37:46	PEPPRO
Success	06-14-21:49:02	PEPPRO
